Estación_Invierno,Estación_Otoño,Estación_Primavera,Estación_Verano,Madrid_weather_id_Atmosphere,Madrid_weather_id_Clear,Madrid_weather_id_Drizzle,Madrid_weather_id_Other,Madrid_weather_id_Rain,Madrid_weather_id_Thunderstorm,Barcelona_weather_id_Atmosphere,Barcelona_weather_id_Clear,Barcelona_weather_id_Drizzle,Barcelona_weather_id_Other,Barcelona_weather_id_Rain,Barcelona_weather_id_Thunderstorm,Seville_weather_id_Atmosphere,Seville_weather_id_Clear,Seville_weather_id_Clouds,Seville_weather_id_Drizzle,Seville_weather_id_Other,Seville_weather_id_Rain,Seville_weather_id_Thunderstorm,Bilbao_weather_id_Atmosphere,Bilbao_weather_id_Clear,Bilbao_weather_id_Clouds,Bilbao_weather_id_Drizzle,Bilbao_weather_id_Other,Bilbao_weather_id_Rain,Bilbao_weather_id_Thunderstorm,Madrid_wind_speed,Bilbao_rain_1h,Seville_pressure,Valencia_wind_deg,Valencia_wind_speed,Seville_humidity,Bilbao_clouds_all,Bilbao_wind_speed,Seville_clouds_all,Bilbao_wind_deg,Barcelona_wind_speed,Barcelona_wind_deg,Seville_wind_speed,Barcelona_rain_1h,Seville_rain_1h,Bilbao_snow_3h,Barcelona_pressure,Seville_rain_3h,Madrid_rain_1h,Barcelona_rain_3h,Valencia_snow_3h,Bilbao_pressure,Valencia_pressure,Seville_temp_max,Valencia_humidity,load_shortfall_3h
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.6666666667,0.0,1025.0,5.000000000000001,0.6666666667,74.3333333333,0.0,1.0,0.0,223.3333333333,6.3333333333,42.6666666667,3.3333333333,0.0,0.0,0.0,1036.3333333333,0.0,0.0,0.0,0.0,1035.0,1002.6666666667,274.2546666667,75.6666666667,6715.666666666699
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.3333333333,0.0,1025.0,10.000000000000002,1.6666666666999999,78.3333333333,0.0,1.0,0.0,220.99999999999997,4.0,139.0,3.3333333333,0.0,0.0,0.0,1037.3333333333,0.0,0.0,0.0,0.0,1035.6666666667,1004.3333333333001,274.945,71.0,4171.6666666667
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,1025.0,9.0,1.0,71.3333333333,0.0,1.0,0.0,214.33333333329998,2.0,326.0,2.6666666667,0.0,0.0,0.0,1038.0,0.0,0.0,0.0,0.0,1036.0,1005.3333333333,278.792,65.6666666667,4274.666666666701
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,1025.0,8.0,1.0,65.3333333333,0.0,1.0,0.0,199.6666666667,2.3333333333,273.0,4.0,0.0,0.0,0.0,1037.0,0.0,0.0,0.0,0.0,1036.0,1008.9999999999999,285.394,54.00000000000001,5075.666666666701
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,1025.0,6.999999999999999,1.0,59.0,2.0,0.3333333333,0.0,185.00000000000003,4.3333333333,260.0,3.0,0.0,0.0,0.0,1035.0,0.0,0.0,0.0,0.0,1035.3333333333,1017.6666666666399,285.51371875,58.3333333333,6620.666666666698
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1025.0,6.999999999999999,1.0,69.6666666667,12.3333333333,0.6666666667,0.0,191.33333333330003,4.6666666667,254.66666666669997,2.6666666667,0.0,0.0,0.0,1035.6666666667,0.0,0.0,0.0,0.0,1035.6666666667,1015.33333333332,282.07784375,72.6666666667,6842.0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1025.0,8.0,1.0,83.6666666667,16.3333333333,1.0,0.0,210.3333333333,3.3333333333,276.0,2.0,0.0,0.0,0.0,1038.0,0.0,0.0,0.0,0.0,1036.0,1005.9999999999999,277.637,83.3333333333,10760.3333333333
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1025.0,9.0,1.0,83.6666666667,8.6666666667,1.3333333333,0.0,238.6666666667,2.0,310.0,2.3333333333,0.0,0.0,0.0,1037.6666666667,0.0,0.0,0.0,0.0,1036.0,1005.6666666667,276.4573333333,82.0,10866.0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,1025.0,9.0,1.0,86.0,5.3333333333,1.0,0.0,258.3333333333,1.6666666667,338.0,3.0,0.0,0.0,0.0,1037.3333333333,0.0,0.0,0.0,0.0,1036.6666666667,1005.3333333333,276.1516666667,80.6666666667,-1850.3333333333003
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1025.0,9.0,1.3333333333,87.0,15.3333333333,1.0,0.0,255.3333333333,1.0,329.0,3.0,0.0,0.0,0.0,1038.3333333333,0.0,0.0,0.0,0.0,1037.0,1006.3333333333,276.453,75.33333333330002,-4002.3333333332994
